,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,month
79,Sports Direct,1197831,2020-08-01,South,Texas,Houston,Women's Apparel,35.0,700.0,24500.0,12250.0,Outlet,2020,8
80,Sports Direct,1197831,2020-08-02,South,Texas,Houston,Men's Street Footwear,30.0,875.0,26250.0,9188.0,Outlet,2020,8
81,Sports Direct,1197831,2020-08-03,South,Texas,Houston,Men's Athletic Footwear,40.0,875.0,35000.0,12250.0,Outlet,2020,8
82,Sports Direct,1197831,2020-08-04,South,Texas,Houston,Women's Street Footwear,35.0,700.0,24500.0,8575.0,Outlet,2020,8
83,Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Athletic Footwear,40.0,600.0,24000.0,10800.0,Outlet,2020,8
84,Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Apparel,45.0,500.0,22500.0,6750.0,Outlet,2020,8
85,Sports Direct,1197831,2020-08-07,South,Texas,Houston,Women's Apparel,40.0,650.0,26000.0,13000.0,Outlet,2020,8
86,Sports Direct,1197831,2020-08-08,South,Texas,Houston,Men's Street Footwear,30.0,900.0,27000.0,9450.0,Outlet,2020,8
87,Sports Direct,1197831,2020-08-09,South,Texas,Houston,Men's Athletic Footwear,40.0,900.0,36000.0,12600.0,Outlet,2020,8
88,Sports Direct,1197831,2020-08-10,South,Texas,Houston,Women's Street Footwear,35.0,725.0,25375.0,8881.0,Outlet,2020,8
89,Sports Direct,1197831,2020-08-11,South,Texas,Houston,Women's Athletic Footwear,40.0,625.0,25000.0,11250.0,Outlet,2020,8
90,Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Apparel,45.0,525.0,23625.0,7088.0,Outlet,2020,8
91,Walmart,1197831,2020-08-13,South,Texas,Houston,Women's Apparel,40.0,800.0,32000.0,16000.0,Outlet,2020,8
92,Walmart,1197831,2020-08-14,South,Texas,Houston,Men's Street Footwear,30.0,925.0,27750.0,9713.0,Outlet,2020,8
93,Walmart,1197831,2020-08-15,South,Texas,Houston,Men's Athletic Footwear,40.0,925.0,37000.0,12950.0,Outlet,2020,8
94,Walmart,1197831,2020-08-16,South,Texas,Houston,Women's Street Footwear,35.0,775.0,27125.0,9494.0,Outlet,2020,8
95,Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,28000.0,12600.0,Outlet,2020,8
96,Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Apparel,45.0,600.0,27000.0,8100.0,Outlet,2020,8
97,Walmart,1197831,2020-08-19,South,Texas,Houston,Women's Apparel,40.0,950.0,38000.0,19000.0,Outlet,2020,8
98,Walmart,1197831,2020-08-20,South,Texas,Houston,Men's Street Footwear,40.0,950.0,38000.0,13300.0,Outlet,2020,8
99,Walmart,1197831,2020-08-21,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,42750.0,14963.0,Outlet,2020,8
100,Walmart,1197831,2020-08-22,South,Texas,Houston,Women's Street Footwear,40.0,800.0,32000.0,11200.0,Outlet,2020,8
101,Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Athletic Footwear,40.0,750.0,30000.0,13500.0,Outlet,2020,8
102,Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Apparel,45.0,650.0,29250.0,8775.0,Outlet,2020,8
103,Walmart,1197831,2020-08-25,South,Texas,Houston,Women's Apparel,50.0,1000.0,50000.0,25000.0,Outlet,2020,8
104,Walmart,1197831,2020-08-26,South,Texas,Houston,Men's Street Footwear,40.0,950.0,38000.0,13300.0,Outlet,2020,8
105,Walmart,1197831,2020-08-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,42750.0,14963.0,Outlet,2020,8
106,Walmart,1197831,2020-08-28,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,44000.0,15400.0,Outlet,2020,8
107,Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,28000.0,12600.0,Outlet,2020,8
108,Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Apparel,45.0,700.0,31500.0,9450.0,Outlet,2020,8
109,Walmart,1197831,2020-08-31,South,Texas,Houston,Women's Apparel,50.0,975.0,48750.0,24375.0,Outlet,2020,8
110,Walmart,1197831,2020-09-01,South,Texas,Houston,Men's Street Footwear,40.0,925.0,37000.0,12950.0,Outlet,2020,9
111,Walmart,1197831,2020-09-02,South,Texas,Houston,Men's Athletic Footwear,45.0,925.0,41625.0,14569.0,Outlet,2020,9
112,Walmart,1197831,2020-09-03,South,Texas,Houston,Women's Street Footwear,40.0,1100.0,44000.0,15400.0,Outlet,2020,9
113,Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Athletic Footwear,40.0,650.0,26000.0,11700.0,Outlet,2020,9
114,Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Apparel,45.0,650.0,29250.0,8775.0,Outlet,2020,9
115,Walmart,1197831,2020-09-06,South,Texas,Houston,Women's Apparel,50.0,900.0,45000.0,22500.0,Outlet,2020,9
116,Walmart,1197831,2020-09-07,South,Texas,Houston,Men's Street Footwear,45.0,850.0,38250.0,13388.0,Outlet,2020,9
117,Walmart,1197831,2020-09-08,South,Texas,Houston,Men's Athletic Footwear,45.0,850.0,38250.0,13388.0,Outlet,2020,9
118,Walmart,1197831,2020-09-09,South,Texas,Houston,Women's Street Footwear,50.0,900.0,45000.0,15750.0,Outlet,2020,9
119,Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,31250.0,14063.0,Outlet,2020,9
120,Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Apparel,45.0,625.0,28125.0,8438.0,Outlet,2020,9
121,Walmart,1197831,2020-09-12,South,Texas,Houston,Women's Apparel,55.0,850.0,46750.0,23375.0,Outlet,2020,9
122,Walmart,1197831,2020-09-13,South,Texas,Houston,Men's Street Footwear,45.0,800.0,36000.0,12600.0,Outlet,2020,9
123,Walmart,1197831,2020-09-14,South,Texas,Houston,Men's Athletic Footwear,45.0,800.0,36000.0,12600.0,Outlet,2020,9
124,Walmart,1197831,2020-09-15,South,Texas,Houston,Women's Street Footwear,50.0,750.0,37500.0,13125.0,Outlet,2020,9
125,Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Athletic Footwear,50.0,600.0,30000.0,13500.0,Outlet,2020,9
126,Walmart,1197831,2020-09-17,South,Texas,Houston,Men's Apparel,45.0,575.0,25875.0,7763.0,Outlet,2020,9
127,Walmart,1197831,2020-09-18,South,Texas,Houston,Women's Apparel,55.0,750.0,41250.0,20625.0,Outlet,2020,9
128,Walmart,1197831,2020-10-22,South,Texas,Houston,Men's Street Footwear,45.0,900.0,40500.0,14175.0,Outlet,2020,10
129,Walmart,1197831,2020-10-23,South,Texas,Houston,Men's Athletic Footwear,45.0,900.0,40500.0,14175.0,Outlet,2020,10
130,Walmart,1197831,2020-10-24,South,Texas,Houston,Women's Street Footwear,50.0,825.0,41250.0,14438.0,Outlet,2020,10
131,Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Athletic Footwear,50.0,675.0,33750.0,15188.0,Outlet,2020,10
132,Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Apparel,45.0,650.0,29250.0,8775.0,Outlet,2020,10
133,Walmart,1197831,2020-10-27,South,Texas,Houston,Women's Apparel,55.0,850.0,46750.0,23375.0,Outlet,2020,10
134,Walmart,1197831,2020-10-28,South,Texas,Houston,Men's Street Footwear,45.0,950.0,42750.0,14963.0,Outlet,2020,10
135,Walmart,1197831,2020-10-29,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,42750.0,14963.0,Outlet,2020,10
136,Walmart,1197831,2020-10-30,South,Texas,Houston,Women's Street Footwear,50.0,850.0,42500.0,14875.0,Outlet,2020,10
137,Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Athletic Footwear,50.0,700.0,35000.0,15750.0,Outlet,2020,10
138,Walmart,1197831,2020-11-01,South,Texas,Houston,Men's Apparel,45.0,650.0,29250.0,8775.0,Outlet,2020,11
139,Walmart,1197831,2020-11-02,South,Texas,Houston,Women's Apparel,55.0,900.0,49500.0,24750.0,Outlet,2020,11
140,West Gear,1128299,2020-11-03,South,Texas,Houston,Men's Street Footwear,40.0,775.0,31000.0,10850.0,Outlet,2020,11
141,West Gear,1128299,2020-11-04,South,Texas,Houston,Men's Athletic Footwear,50.0,775.0,38750.0,7750.0,Outlet,2020,11
142,West Gear,1128299,2020-11-05,South,Texas,Houston,Women's Street Footwear,50.0,775.0,38750.0,13563.0,Outlet,2020,11
143,West Gear,1128299,2020-11-06,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,31250.0,9375.0,Outlet,2020,11
144,West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Apparel,55.0,575.0,31625.0,15813.0,Outlet,2020,11
145,West Gear,1128299,2020-11-08,West,California,San Francisco,Women's Apparel,50.0,775.0,38750.0,5813.0,Outlet,2020,11
146,West Gear,1128299,2020-11-09,West,California,San Francisco,Men's Street Footwear,40.0,825.0,33000.0,11550.0,Outlet,2020,11
147,West Gear,1128299,2020-11-10,West,California,San Francisco,Men's Athletic Footwear,50.0,725.0,36250.0,7250.0,Outlet,2020,11
148,West Gear,1128299,2020-11-11,West,California,San Francisco,Women's Street Footwear,50.0,725.0,36250.0,12688.0,Outlet,2020,11
149,West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Athletic Footwear,50.0,575.0,28750.0,8625.0,Outlet,2020,11
150,West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Apparel,55.0,500.0,27500.0,13750.0,Outlet,2020,11
151,West Gear,1128299,2020-11-14,West,California,San Francisco,Women's Apparel,50.0,700.0,35000.0,5250.0,Outlet,2020,11
152,West Gear,1128299,2020-11-15,West,California,San Francisco,Men's Street Footwear,50.0,850.0,42500.0,14875.0,Outlet,2020,11
153,West Gear,1128299,2020-11-16,West,California,San Francisco,Men's Athletic Footwear,60.0,700.0,42000.0,8400.0,Outlet,2020,11
154,West Gear,1128299,2020-11-17,West,California,San Francisco,Women's Street Footwear,60.0,700.0,42000.0,14700.0,Outlet,2020,11
155,West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Athletic Footwear,60.0,600.0,36000.0,10800.0,Outlet,2020,12
156,West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Apparel,65.0,500.0,32500.0,16250.0,Outlet,2020,12
157,West Gear,1128299,2020-12-26,West,California,San Francisco,Women's Apparel,60.0,700.0,42000.0,6300.0,Outlet,2020,12
158,West Gear,1128299,2020-12-27,West,California,San Francisco,Men's Street Footwear,60.0,875.0,52500.0,18375.0,Outlet,2020,12
159,West Gear,1128299,2020-12-28,West,California,San Francisco,Men's Athletic Footwear,65.0,675.0,43875.0,8775.0,Outlet,2020,12
160,West Gear,1128299,2020-12-29,West,California,San Francisco,Women's Street Footwear,65.0,725.0,47125.0,16494.0,Outlet,2020,12
161,West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Athletic Footwear,60.0,625.0,37500.0,11250.0,Outlet,2020,12
162,West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Apparel,65.0,525.0,34125.0,17063.0,Outlet,2020,12
163,Foot Locker,1185732,2020-01-03,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75.0,275.0,20625.0,6188.0,Outlet,2020,1
164,West Gear,1128299,2020-01-04,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35.0,450.0,15750.0,6300.0,Outlet,2020,1
165,West Gear,1128299,2020-01-05,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45.0,450.0,20250.0,5063.0,Outlet,2020,1
166,West Gear,1128299,2020-01-06,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45.0,450.0,20250.0,8100.0,Outlet,2020,1
167,West Gear,1128299,2020-01-07,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,300.0,13500.0,4725.0,Outlet,2020,1
168,West Gear,1128299,2020-01-08,West,Nevada,Las Vegas,Men's Apparel,50.0,250.0,12500.0,6875.0,Outlet,2020,1
169,West Gear,1128299,2020-01-09,West,Nevada,Las Vegas,Women's Apparel,45.0,475.0,21375.0,4275.0,Outlet,2020,1
170,West Gear,1128299,2020-01-10,West,Nevada,Las Vegas,Men's Street Footwear,35.0,525.0,18375.0,7350.0,Outlet,2020,1
171,West Gear,1128299,2020-01-11,West,Nevada,Las Vegas,Men's Athletic Footwear,45.0,425.0,19125.0,4781.0,Outlet,2020,1
172,West Gear,1128299,2020-01-12,West,Nevada,Las Vegas,Women's Street Footwear,45.0,425.0,19125.0,7650.0,Outlet,2020,1
173,West Gear,1128299,2020-01-13,West,Nevada,Las Vegas,Women's Athletic Footwear,45.0,275.0,12375.0,4331.0,Outlet,2020,1
174,West Gear,1128299,2020-01-14,West,Nevada,Las Vegas,Men's Apparel,50.0,200.0,10000.0,5500.0,Outlet,2020,1
175,West Gear,1128299,2020-01-15,West,Nevada,Las Vegas,Women's Apparel,45.0,400.0,18000.0,3600.0,Outlet,2020,1
176,West Gear,1128299,2020-01-16,West,Nevada,Las Vegas,Men's Street Footwear,45.0,550.0,24750.0,9900.0,Outlet,2020,1
177,West Gear,1128299,2020-01-17,West,Nevada,Las Vegas,Men's Athletic Footwear,55.0,400.0,22000.0,5500.0,Outlet,2020,1
178,West Gear,1128299,2020-01-18,West,Nevada,Las Vegas,Women's Street Footwear,55.0,400.0,22000.0,8800.0,Outlet,2020,1
179,West Gear,1128299,2020-01-19,West,Nevada,Las Vegas,Women's Athletic Footwear,55.0,300.0,16500.0,5775.0,Outlet,2020,1
180,West Gear,1128299,2020-01-20,West,Nevada,Las Vegas,Men's Apparel,60.0,175.0,10500.0,5775.0,Outlet,2020,1
181,West Gear,1128299,2020-01-21,West,Nevada,Las Vegas,Women's Apparel,55.0,375.0,20625.0,4125.0,Outlet,2020,1
182,West Gear,1128299,2020-01-22,West,Nevada,Las Vegas,Men's Street Footwear,60.0,550.0,33000.0,13200.0,Outlet,2020,1
183,West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,350.0,22750.0,5688.0,Outlet,2020,1
184,West Gear,1128299,2020-01-24,West,Nevada,Las Vegas,Women's Street Footwear,65.0,400.0,26000.0,10400.0,Outlet,2020,1
185,West Gear,1128299,2020-01-25,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,300.0,18000.0,6300.0,Outlet,2020,1
186,West Gear,1128299,2020-01-26,West,Nevada,Las Vegas,Men's Apparel,65.0,200.0,13000.0,7150.0,Outlet,2020,1
187,West Gear,1128299,2020-01-27,West,Nevada,Las Vegas,Women's Apparel,80.0,350.0,28000.0,5600.0,Outlet,2020,1
188,West Gear,1128299,2020-01-28,West,Nevada,Las Vegas,Men's Street Footwear,60.0,550.0,33000.0,14850.0,Outlet,2020,1
189,West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,400.0,26000.0,7800.0,Outlet,2020,1
190,West Gear,1128299,2020-01-30,West,Nevada,Las Vegas,Women's Street Footwear,65.0,400.0,26000.0,11700.0,Outlet,2020,1
191,West Gear,1128299,2020-01-31,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,300.0,18000.0,7200.0,Outlet,2020,1
192,West Gear,1128299,2020-02-01,West,Nevada,Las Vegas,Men's Apparel,65.0,200.0,13000.0,7800.0,Outlet,2020,2
193,West Gear,1128299,2020-02-02,West,Nevada,Las Vegas,Women's Apparel,80.0,450.0,36000.0,9000.0,Outlet,2020,2
194,West Gear,1128299,2020-02-03,West,Nevada,Las Vegas,Men's Street Footwear,60.0,700.0,42000.0,18900.0,Outlet,2020,2
195,West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,550.0,35750.0,10725.0,Outlet,2020,2
196,West Gear,1128299,2020-02-05,West,Nevada,Las Vegas,Women's Street Footwear,65.0,550.0,35750.0,16088.0,Outlet,2020,2
197,West Gear,1128299,2020-02-06,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,425.0,25500.0,10200.0,Outlet,2020,2
198,West Gear,1128299,2020-02-07,West,Nevada,Las Vegas,Men's Apparel,65.0,300.0,19500.0,11700.0,Outlet,2020,2
199,West Gear,1128299,2020-02-08,West,Nevada,Las Vegas,Women's Apparel,80.0,600.0,48000.0,12000.0,Outlet,2020,2
200,West Gear,1128299,2020-02-09,West,Nevada,Las Vegas,Men's Street Footwear,60.0,750.0,45000.0,18000.0,Outlet,2020,2
201,West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,600.0,39000.0,9750.0,Outlet,2020,2
202,West Gear,1128299,2020-02-11,West,Nevada,Las Vegas,Women's Street Footwear,65.0,550.0,35750.0,14300.0,In-store,2020,2
